구분(4),,2022.02.,2022.03.,2022.04.,2022.05.,2022.06.,2022.07.,2022.08.,2022.09.,2022.10.,2022.11.,2022.12.,2023.01.,2023.02.
대전평균,32.13287,40,44,39,31,21,21,15,19,24,40,35,44,46
읍내동,37.84615385,42,52,45,37,23,23,17,24,31,52,43,50,53
문평동,35.61538462,44,49,44,35,24,23,17,21,28,44,37,46,51
문창동,28.15384615,33,37,34,29,18,19,14,17,20,34,33,42,36
상대동,31.15384615,38,43,38,32,23,19,15,18,22,33,32,42,50
구성동,31.38461538,43,44,37,30,20,21,15,19,22,37,33,42,45
노은동,30.61538462,36,40,37,30,20,19,15,18,22,38,34,43,46
관평동,34.07692308,47,47,40,30,21,21,16,20,25,43,38,46,49
성남동,33.30769231,39,47,43,35,22,21,15,18,22,41,37,45,48
대성동,27.46153846,35,39,35,26,17,17,13,14,17,32,30,39,43
정림동,31.53846154,49,45,37,29,19,21,15,18,23,38,34,40,42
둔산동,32.30769231,36,38,35,31,20,22,15,21,28,44,39,47,44
