구분,,2022.02.,2022.03.,2022.04.,2022.05.,2022.06.,2022.07.,2022.08.,2022.09.,2022.10.,2022.11.,2022.12.,2023.01.,2023.02.
서울시 평균,0.0286,0.0258,0.0275,0.0425,0.0488,0.0358,0.0368,0.0303,0.0304,0.0228,0.0177,0.0151,0.0159,0.0224
강남구,0.03,0.027,0.028,0.043,0.051,0.038,0.039,0.033,0.032,0.024,0.019,0.016,0.0167,0.0229
강동구,0.0243,0.022,0.022,0.035,0.044,0.032,0.03,0.026,0.025,0.019,0.015,0.013,0.0137,0.0193
강북구,0.0314,0.031,0.032,0.044,0.051,0.037,0.034,0.031,0.033,0.027,0.023,0.019,0.0191,0.027
강서구,0.0295,0.026,0.026,0.044,0.049,0.035,0.04,0.034,0.032,0.024,0.018,0.016,0.016,0.0231
관악구,0.0265,0.021,0.028,0.042,0.049,0.035,0.034,0.027,0.027,0.021,0.015,0.013,0.0137,0.0186
광진구,0.027,0.028,0.029,0.041,0.045,0.034,0.033,0.028,0.026,0.02,0.017,0.014,0.0152,0.0207
구로구,0.0288,0.025,0.026,0.046,0.049,0.038,0.039,0.033,0.033,0.022,0.016,0.014,0.0138,0.0191
금천구,0.0285,0.026,0.027,0.043,0.05,0.037,0.039,0.025,0.028,0.023,0.019,0.015,0.0162,0.0218
노원구,0.0291,0.027,0.029,0.044,0.05,0.036,0.037,0.03,0.031,0.022,0.017,0.016,0.016,0.0227
도봉구,0.0305,0.029,0.03,0.042,0.053,0.036,0.033,0.031,0.03,0.024,0.021,0.02,0.0206,0.0275
동대문구,0.0307,0.029,0.029,0.045,0.054,0.039,0.042,0.028,0.035,0.025,0.018,0.015,0.0166,0.0239
동작구,0.0302,0.027,0.03,0.045,0.05,0.037,0.04,0.034,0.033,0.024,0.019,0.014,0.0165,0.0226
마포구,0.0285,0.027,0.029,0.041,0.049,0.036,0.04,0.032,0.03,0.022,0.017,0.014,0.014,0.02
서대문구,0.0288,0.024,0.031,0.047,0.051,0.034,0.035,0.03,0.025,0.021,0.02,0.015,0.0167,0.0251
서초구,0.0274,0.027,0.028,0.043,0.047,0.038,0.039,0.03,0.026,0.018,0.013,0.013,0.0149,0.0199
성동구,0.0278,0.021,0.019,0.04,0.051,0.039,0.038,0.031,0.031,0.023,0.017,0.014,0.0155,0.0216
성북구,0.0273,0.025,0.026,0.039,0.044,0.033,0.037,0.031,0.03,0.023,0.016,0.014,0.015,0.0214
송파구,0.0263,0.024,0.025,0.041,0.044,0.035,0.032,0.029,0.03,0.02,0.015,0.013,0.0145,0.0194
양천구,0.0265,0.023,0.026,0.041,0.046,0.032,0.037,0.029,0.03,0.022,0.015,0.013,0.0128,0.018
영등포구,0.027,0.023,0.025,0.041,0.046,0.034,0.035,0.03,0.03,0.022,0.016,0.014,0.0143,0.0206
용산구,0.0289,0.025,0.024,0.041,0.052,0.039,0.037,0.031,0.031,0.024,0.018,0.015,0.0165,0.0226
은평구,0.0289,0.026,0.03,0.044,0.048,0.032,0.031,0.028,0.032,0.025,0.021,0.017,0.0179,0.0243
종로구,0.03,0.028,0.029,0.044,0.05,0.036,0.04,0.033,0.032,0.025,0.018,0.015,0.0163,0.0241
중구,0.0305,0.028,0.03,0.044,0.049,0.035,0.038,0.032,0.032,0.023,0.019,0.019,0.0179,0.0297
중랑구,0.0304,0.027,0.029,0.043,0.049,0.037,0.04,0.032,0.035,0.026,0.021,0.016,0.0165,0.0233
