Seoul District,Drug classification name,2023.02,2023.01,2022.12,2022.11,2022.1,2022.09,2022.08,2022.07,2022.06,2022.05,2022.04,2022.03,2022.02
Gangnam,antihistamine,2394203,2367294,2995480,2573246,2539408,2375052,2036017,2236051,1870556,2229268,2563567,2484726,1729538
Gangdong,antihistamine,2108550,2128221,2749648,2433682,2411977,2149676,1802565,1938214,1761671,2105618,2330874,2274707,1634342
Gangbuk,antihistamine,875806,900681,1189492,976765,988328,849349,702771,738832,650525,860340,937443,1008978,651390
Gangseo,antihistamine,2193016,2280610,2838101,2441430,2467672,2094800,1759941,1988011,1818402,2082669,2135775,2121330,1577395
Gwanak,antihistamine,1259895,1388564,1708233,1469270,1431694,1236511,1076764,1128829,992918,1233072,1411317,1435924,932704
Gwangjin,antihistamine,969342,1041009,1301681,1102302,1093113,1012952,881792,908863,776016,1040590,1157954,1228447,777012
Guro,antihistamine,1761482,1838644,2359723,1987841,1892894,1668757,1430184,1619900,1226954,1606359,1755177,1830561,1182130
Geumcheon,antihistamine,714253,776035,919996,777857,727390,676950,638041,608366,507800,666670,772092,907547,581169
Nowon,antihistamine,2009831,2129204,2613383,2269129,2237262,1938745,1755808,1852729,1563960,1989280,2182073,2175683,1500240
Dobong,antihistamine,1178978,1174538,1482624,1260964,1231299,1067207,883765,1011409,828815,1126939,1231051,1158106,812392
Dongdaemun,antihistamine,1494450,1494766,1908745,1624750,1642573,1385525,1163775,1287735,1176861,1458752,1484489,1391219,1031449
Dongjak,antihistamine,1251228,1329537,1676420,1437829,1416496,1286885,1131403,1216830,1096452,1319362,1403135,1379356,960138
Mapo,antihistamine,1504873,1486034,1844874,1592161,1603327,1309266,1090134,1215071,1168300,1441672,1423739,1280614,952615
Seodaemun,antihistamine,1148882,1163674,1359805,1239518,1232121,1168222,1085734,1041341,960149,1127944,1218568,1233170,893373
Seocho,antihistamine,1687276,1710525,2221439,1858602,1889652,1624007,1326723,1582757,1305866,1637313,1798410,1899295,1148934
Seongdong,antihistamine,1204229,1157933,1455411,1213556,1174665,1030509,864364,991054,893436,1114040,1068796,1023352,752132
Seongbuk,antihistamine,1470486,1583668,2001195,1715464,1715799,1459726,1245651,1375283,1171908,1511724,1540042,1518924,1055647
Songpa,antihistamine,2678339,2736603,3506469,2967090,3015971,2720127,2214437,2447517,2176182,2612371,2789696,2762210,1959475
Yangcheon,antihistamine,1665018,1623014,2103917,1829706,1908459,1660940,1312072,1470340,1329911,1583802,1742810,1775256,1208092
Yeongdeungpo,antihistamine,1759091,1799403,2245842,1907159,1858661,1668372,1417061,1504375,1309936,1591827,1731940,1708235,1180116
Yongsan,antihistamine,704010,705576,896472,786769,798173,689852,581770,648363,553694,689072,723543,689024,491855
Eunpyeong,antihistamine,1683881,1703361,2062220,1834215,1874836,1683576,1363734,1399457,1284708,1610164,1631321,1641427,1131058
Jongno,antihistamine,886171,905833,1008162,926861,907162,882529,846938,811188,723050,862564,933364,937474,712703
Jung,antihistamine,556859,610308,737227,628822,588429,552962,482557,486652,426419,533021,576258,620793,422300
Jungnang,antihistamine,1311611,1330768,1682222,1458301,1491808,1272061,1097223,1161606,1018600,1304778,1439966,1416257,968464
