Seoul District,2022.02.,2022.03.,2022.04.,2022.05.,2022.06.,2022.07.,2022.08.,2022.09.,2022.10.,2022.11.,2022.12.,2023.01.,2023.02.
Total,26246665,37902616,37983400,35339211,28593088,32670773,30191223,35464557,40139168,40313289,46868781,37365803,36471760
강남구,1729538,2484726,2563567,2229268,1870556,2236051,2036017,2375052,2539408,2573246,2995480,2367294,2394203
강동구,1634342,2274707,2330874,2105618,1761671,1938214,1802565,2149676,2411977,2433682,2749648,2128221,2108550
강북구,651390,1008978,937443,860340,650525,738832,702771,849349,988328,976765,1189492,900681,875806
강서구,1577395,2121330,2135775,2082669,1818402,1988011,1759941,2094800,2467672,2441430,2838101,2280610,2193016
관악구,932704,1435924,1411317,1233072,992918,1128829,1076764,1236511,1431694,1469270,1708233,1388564,1259895
광진구,777012,1228447,1157954,1040590,776016,908863,881792,1012952,1093113,1102302,1301681,1041009,969342
구로구,1182130,1830561,1755177,1606359,1226954,1619900,1430184,1668757,1892894,1987841,2359723,1838644,1761482
금천구,581169,907547,772092,666670,507800,608366,638041,676950,727390,777857,919996,776035,714253
노원구,1500240,2175683,2182073,1989280,1563960,1852729,1755808,1938745,2237262,2269129,2613383,2129204,2009831
도봉구,812392,1158106,1231051,1126939,828815,1011409,883765,1067207,1231299,1260964,1482624,1174538,1178978
동대문구,1031449,1391219,1484489,1458752,1176861,1287735,1163775,1385525,1642573,1624750,1908745,1494766,1494450
동작구,960138,1379356,1403135,1319362,1096452,1216830,1131403,1286885,1416496,1437829,1676420,1329537,1251228
마포구,952615,1280614,1423739,1441672,1168300,1215071,1090134,1309266,1603327,1592161,1844874,1486034,1504873
서대문구,893373,1233170,1218568,1127944,960149,1041341,1085734,1168222,1232121,1239518,1359805,1163674,1148882
서초구,1148934,1899295,1798410,1637313,1305866,1582757,1326723,1624007,1889652,1858602,2221439,1710525,1687276
성동구,752132,1023352,1068796,1114040,893436,991054,864364,1030509,1174665,1213556,1455411,1157933,1204229
성북구,1055647,1518924,1540042,1511724,1171908,1375283,1245651,1459726,1715799,1715464,2001195,1583668,1470486
송파구,1959475,2762210,2789696,2612371,2176182,2447517,2214437,2720127,3015971,2967090,3506469,2736603,2678339
양천구,1208092,1775256,1742810,1583802,1329911,1470340,1312072,1660940,1908459,1829706,2103917,1623014,1665018
영등포구,1180116,1708235,1731940,1591827,1309936,1504375,1417061,1668372,1858661,1907159,2245842,1799403,1759091
용산구,491855,689024,723543,689072,553694,648363,581770,689852,798173,786769,896472,705576,704010
은평구,1131058,1641427,1631321,1610164,1284708,1399457,1363734,1683576,1874836,1834215,2062220,1703361,1683881
종로구,712703,937474,933364,862564,723050,811188,846938,882529,907162,926861,1008162,905833,886171
중구,422300,620793,576258,533021,426419,486652,482557,552962,588429,628822,737227,610308,556859
중랑구,968464,1416257,1439966,1304778,1018600,1161606,1097223,1272061,1491808,1458301,1682222,1330768,1311611
,,,,,,,,,,,,,
Price Calculated as KRW,,,,,,,,,,,,,
